publication_date,keywords_count
2020-03-01,88
2020-03-02,174
2020-03-03,385
2020-03-04,236
2020-03-05,579
2020-03-06,203
2020-03-07,153
2020-03-08,91
2020-03-09,308
2020-03-10,217
2020-03-11,427
2020-03-12,267
2020-03-13,459
2020-03-14,123
2020-03-15,174
2020-03-16,166
2020-03-17,478
2020-03-18,239
2020-03-19,394
2020-03-20,211
2020-03-21,183
2020-03-22,62
2020-03-23,282
2020-03-24,188
2020-03-25,421
2020-03-26,260
2020-03-27,380
2020-03-28,114
2020-03-29,140
2020-03-30,176
2020-03-31,302
2020-04-01,240
2020-04-02,185
2020-04-03,375
2020-04-04,60
2020-04-05,150
2020-04-06,145
2020-04-07,398
2020-04-08,174
2020-04-09,479
2020-04-10,165
2020-04-11,160
2020-04-12,75
2020-04-13,399
2020-04-14,215
2020-04-15,423
2020-04-16,239
2020-04-17,523
2020-04-18,95
2020-04-19,173
2020-04-20,161
2020-04-21,467
2020-04-22,257
2020-04-23,383
2020-04-24,174
2020-04-25,157
2020-04-26,76
2020-04-27,282
2020-04-28,200
2020-04-29,344
2020-04-30,209
2020-05-01,278
2020-05-02,91
2020-05-03,124
2020-05-04,119
2020-05-05,300
2020-05-06,197
2020-05-07,514
2020-05-08,191
2020-05-09,119
2020-05-10,64
2020-05-11,354
2020-05-12,169
2020-05-13,399
2020-05-14,182
2020-05-15,402
2020-05-16,87
2020-05-17,89
2020-05-18,176
2020-05-19,350
2020-05-20,223
2020-05-21,325
2020-05-22,178
2020-05-23,219
2020-05-24,52
2020-05-25,187
2020-05-26,148
2020-05-27,291
2020-05-28,245
2020-05-29,343
2020-05-30,50
2020-05-31,214
2020-06-01,124
2020-06-02,156
2020-06-03,333
2020-06-04,165
2020-06-05,286
2020-06-06,93
2020-06-07,91
2020-06-08,112
2020-06-09,323
2020-06-10,168
2020-06-11,406
2020-06-12,168
2020-06-13,130
2020-06-14,44
2020-06-15,313
2020-06-16,175
2020-06-17,372
2020-06-18,209
2020-06-19,344
2020-06-20,79
2020-06-21,122
2020-06-22,144
2020-06-23,427
2020-06-24,216
2020-06-25,366
2020-06-26,203
2020-06-27,130
2020-06-28,51
2020-06-29,369
2020-06-30,205
2020-07-01,198
2020-07-02,236
2020-07-03,302
2020-07-04,62
2020-07-05,92
2020-07-06,158
2020-07-07,452
2020-07-08,235
2020-07-09,436
2020-07-10,250
2020-07-11,170
2020-07-12,65
2020-07-13,276
2020-07-14,170
2020-07-15,332
2020-07-16,250
2020-07-17,312
2020-07-18,69
2020-07-19,150
2020-07-20,152
2020-07-21,380
2020-07-22,199
2020-07-23,426
2020-07-24,264
2020-07-25,184
2020-07-26,55
2020-07-27,324
2020-07-28,217
2020-07-29,302
2020-07-30,237
2020-07-31,416
2020-08-01,6
